,title,summary
0,Watermark-based Detection and Attribution of AI-Generated Content,"Several companies--such as Google, Microsoft, and OpenAI--have deployed
techniques to watermark AI-generated content to enable proactive detection.
However, existing literature mainly focuses on user-agnostic detection.
Attribution aims to further trace back the user of a generative-AI service who
generated a given content detected as AI-generated. Despite its growing
importance, attribution is largely unexplored. In this work, we aim to bridge
this gap by providing the first systematic study on watermark-based, user-aware
detection and attribution of AI-generated content. Specifically, we
theoretically study the detection and attribution performance via rigorous
probabilistic analysis. Moreover, we develop an efficient algorithm to select
watermarks for the users to enhance attribution performance. Both our
theoretical and empirical results show that watermark-based detection and
attribution inherit the accuracy and (non-)robustness properties of the
watermarking method."
1,Growing Q-Networks: Solving Continuous Control Tasks with Adaptive Control Resolution,"Recent reinforcement learning approaches have shown surprisingly strong
capabilities of bang-bang policies for solving continuous control benchmarks.
The underlying coarse action space discretizations often yield favourable
exploration characteristics while final performance does not visibly suffer in
the absence of action penalization in line with optimal control theory. In
robotics applications, smooth control signals are commonly preferred to reduce
system wear and energy efficiency, but action costs can be detrimental to
exploration during early training. In this work, we aim to bridge this
performance gap by growing discrete action spaces from coarse to fine control
resolution, taking advantage of recent results in decoupled Q-learning to scale
our approach to high-dimensional action spaces up to dim(A) = 38. Our work
indicates that an adaptive control resolution in combination with value
decomposition yields simple critic-only algorithms that yield surprisingly
strong performance on continuous control tasks."
2,Who Evaluates the Evaluations? Objectively Scoring Text-to-Image Prompt Coherence Metrics with T2IScoreScore (TS2),"With advances in the quality of text-to-image (T2I) models has come interest
in benchmarking their prompt faithfulness-the semantic coherence of generated
images to the prompts they were conditioned on. A variety of T2I faithfulness
metrics have been proposed, leveraging advances in cross-modal embeddings and
vision-language models (VLMs). However, these metrics are not rigorously
compared and benchmarked, instead presented against few weak baselines by
correlation to human Likert scores over a set of easy-to-discriminate images.
  We introduce T2IScoreScore (TS2), a curated set of semantic error graphs
containing a prompt and a set increasingly erroneous images. These allow us to
rigorously judge whether a given prompt faithfulness metric can correctly order
images with respect to their objective error count and significantly
discriminate between different error nodes, using meta-metric scores derived
from established statistical tests. Surprisingly, we find that the
state-of-the-art VLM-based metrics (e.g., TIFA, DSG, LLMScore, VIEScore) we
tested fail to significantly outperform simple feature-based metrics like
CLIPScore, particularly on a hard subset of naturally-occurring T2I model
errors. TS2 will enable the development of better T2I prompt faithfulness
metrics through more rigorous comparison of their conformity to expected
orderings and separations under objective criteria."
3,Identity Decoupling for Multi-Subject Personalization of Text-to-Image Models,"Text-to-image diffusion models have shown remarkable success in generating a
personalized subject based on a few reference images. However, current methods
struggle with handling multiple subjects simultaneously, often resulting in
mixed identities with combined attributes from different subjects. In this
work, we present MuDI, a novel framework that enables multi-subject
personalization by effectively decoupling identities from multiple subjects.
Our main idea is to utilize segmented subjects generated by the Segment
Anything Model for both training and inference, as a form of data augmentation
for training and initialization for the generation process. Our experiments
demonstrate that MuDI can produce high-quality personalized images without
identity mixing, even for highly similar subjects as shown in Figure 1. In
human evaluation, MuDI shows twice as many successes for personalizing multiple
subjects without identity mixing over existing baselines and is preferred over
70% compared to the strongest baseline. More results are available at
https://mudi-t2i.github.io/."
4,Physical Property Understanding from Language-Embedded Feature Fields,"Can computers perceive the physical properties of objects solely through
vision? Research in cognitive science and vision science has shown that humans
excel at identifying materials and estimating their physical properties based
purely on visual appearance. In this paper, we present a novel approach for
dense prediction of the physical properties of objects using a collection of
images. Inspired by how humans reason about physics through vision, we leverage
large language models to propose candidate materials for each object. We then
construct a language-embedded point cloud and estimate the physical properties
of each 3D point using a zero-shot kernel regression approach. Our method is
accurate, annotation-free, and applicable to any object in the open world.
Experiments demonstrate the effectiveness of the proposed approach in various
physical property reasoning tasks, such as estimating the mass of common
objects, as well as other properties like friction and hardness."
5,player2vec: A Language Modeling Approach to Understand Player Behavior in Games,"Methods for learning latent user representations from historical behavior
logs have gained traction for recommendation tasks in e-commerce, content
streaming, and other settings. However, this area still remains relatively
underexplored in video and mobile gaming contexts. In this work, we present a
novel method for overcoming this limitation by extending a long-range
Transformer model from the natural language processing domain to player
behavior data. We discuss specifics of behavior tracking in games and propose
preprocessing and tokenization approaches by viewing in-game events in an
analogous way to words in sentences, thus enabling learning player
representations in a self-supervised manner in the absence of ground-truth
annotations. We experimentally demonstrate the efficacy of the proposed
approach in fitting the distribution of behavior events by evaluating intrinsic
language modeling metrics. Furthermore, we qualitatively analyze the emerging
structure of the learned embedding space and show its value for generating
insights into behavior patterns to inform downstream applications."
6,Twins in rotational spectroscopy: Does a rotational spectrum uniquely identify a molecule?,"Rotational spectroscopy is the most accurate method for determining
structures of molecules in the gas phase. It is often assumed that a rotational
spectrum is a unique ""fingerprint"" of a molecule. The availability of large
molecular databases and the development of artificial intelligence methods for
spectroscopy makes the testing of this assumption timely. In this paper, we
pose the determination of molecular structures from rotational spectra as an
inverse problem. Within this framework, we adopt a funnel-based approach to
search for molecular twins, which are two or more molecules, which have similar
rotational spectra but distinctly different molecular structures. We
demonstrate that there are twins within standard levels of computational
accuracy by generating rotational constants for many molecules from several
large molecular databases, indicating the inverse problem is ill-posed.
However, some twins can be distinguished by increasing the accuracy of the
theoretical methods or by performing additional experiments."
7,Active Causal Learning for Decoding Chemical Complexities with Targeted Interventions,"Predicting and enhancing inherent properties based on molecular structures is
paramount to design tasks in medicine, materials science, and environmental
management. Most of the current machine learning and deep learning approaches
have become standard for predictions, but they face challenges when applied
across different datasets due to reliance on correlations between molecular
representation and target properties. These approaches typically depend on
large datasets to capture the diversity within the chemical space, facilitating
a more accurate approximation, interpolation, or extrapolation of the chemical
behavior of molecules. In our research, we introduce an active learning
approach that discerns underlying cause-effect relationships through strategic
sampling with the use of a graph loss function. This method identifies the
smallest subset of the dataset capable of encoding the most information
representative of a much larger chemical space. The identified causal relations
are then leveraged to conduct systematic interventions, optimizing the design
task within a chemical space that the models have not encountered previously.
While our implementation focused on the QM9 quantum-chemical dataset for a
specific design task-finding molecules with a large dipole moment-our active
causal learning approach, driven by intelligent sampling and interventions,
holds potential for broader applications in molecular, materials design and
discovery."
8,Multi-modal perception for soft robotic interactions using generative models,"Perception is essential for the active interaction of physical agents with
the external environment. The integration of multiple sensory modalities, such
as touch and vision, enhances this perceptual process, creating a more
comprehensive and robust understanding of the world. Such fusion is
particularly useful for highly deformable bodies such as soft robots.
Developing a compact, yet comprehensive state representation from multi-sensory
inputs can pave the way for the development of complex control strategies. This
paper introduces a perception model that harmonizes data from diverse
modalities to build a holistic state representation and assimilate essential
information. The model relies on the causality between sensory input and
robotic actions, employing a generative model to efficiently compress fused
information and predict the next observation. We present, for the first time, a
study on how touch can be predicted from vision and proprioception on soft
robots, the importance of the cross-modal generation and why this is essential
for soft robotic interactions in unstructured environments."
9,Continual Policy Distillation of Reinforcement Learning-based Controllers for Soft Robotic In-Hand Manipulation,"Dexterous manipulation, often facilitated by multi-fingered robotic hands,
holds solid impact for real-world applications. Soft robotic hands, due to
their compliant nature, offer flexibility and adaptability during object
grasping and manipulation. Yet, benefits come with challenges, particularly in
the control development for finger coordination. Reinforcement Learning (RL)
can be employed to train object-specific in-hand manipulation policies, but
limiting adaptability and generalizability. We introduce a Continual Policy
Distillation (CPD) framework to acquire a versatile controller for in-hand
manipulation, to rotate different objects in shape and size within a
four-fingered soft gripper. The framework leverages Policy Distillation (PD) to
transfer knowledge from expert policies to a continually evolving student
policy network. Exemplar-based rehearsal methods are then integrated to
mitigate catastrophic forgetting and enhance generalization. The performance of
the CPD framework over various replay strategies demonstrates its effectiveness
in consolidating knowledge from multiple experts and achieving versatile and
adaptive behaviours for in-hand manipulation tasks."
